Index,Generation,Impregnation Vial Number Barcode,Support,Total Metal Loading [wt%],Fe Loading [wt%],In Loading [wt%],Ce Loading [wt%],Co Loading [wt%],Cu Loading [wt%],Zn Loading [wt%],K Loading [wt%],Cost [$/kg],Merit,CO2 Conversion (%),MeOH Selectivity (%),CH4 Selectivity(%),CO Selectivity(%),C2-C4 Selectivity(%),CO Formation Rate [mol/(h*gMetal)],CH4 Formation Rate [mol/(h*gMetal)],MeOH Formation Rate [mol/(h*gMetal)],CO2 Conversion Rate [mol/(h*gMetal)]
87,4,1000001641,ZrO2,2.735834354,0.495679749,0,0,0.061172818,2.178981787,0,0,96.93188,0.902646248,6.510967423,41.1953117,0.507778562,58.03048482,0,0.125997408,0.001096682,0.088841049,0.215935139
88,4,1000001615,ZrO2,3.038956509,0.485385823,0,0,0,1.724590536,0.480973224,0.348006926,107.407643,0.713063092,7.471266803,6.254941861,7.618581638,77.57181268,8.195915623,0.171588151,0.016713394,0.01377144,0.202072985
89,4,1000001638,ZrO2,2.530609482,0,0,0.020445179,0,2.092223354,0.417940949,0,90.362771,0.977819103,9.709070199,39.92722336,0.662308746,59.23251769,0,0.205263223,0.002277423,0.137503074,0.345043719
90,4,1000001626,ZrO2,2.830038961,0.630887209,0,0,0.152875085,1.821921751,0,0.224354916,118.5526644,0.649269034,3.027410183,13.71022591,4.966788646,78.85550978,1.131015811,0.079040084,0.004871776,0.01340849,0.09732035
91,4,1000001629,ZrO2,2.718772003,0,0.874288665,0,0,1.809149546,0.035333792,0,1418.084058,0.858397898,5.787349306,59.50787399,1.47003431,38.47573971,0,0.076718002,0.002884004,0.116750684,0.19635269
92,4,1000001630,ZrO2,3.044849358,0,0.249647878,1.046487358,0,1.748714123,0,0,496.309044,0.8832145,5.146361718,51.28220494,0.818525977,47.51424271,0,0.074450228,0.001270676,0.079538493,0.155259396
93,4,1000001642,ZrO2,2.811971041,0.307145334,0,0,0,1.517223939,0.817376643,0.170225125,87.5285388,0.813693649,7.62406576,17.92420353,0.254249819,81.65553566,0,0.201348492,0.000624507,0.043918781,0.24589178
94,4,1000001637,ZrO2,2.895947041,0,0,0.244811407,0,2.271618677,0.379516957,0,105.262708,0.955981009,9.361067433,37.73057168,0.737104472,61.45793901,0,0.179087902,0.002139075,0.109417204,0.290644181
95,4,1000001616,ZrO2,2.511900945,0.580813864,0.159783322,0,0,1.771303758,0,0,316.845284,0.902821304,6.8516316,43.45341493,0.710817615,55.25897951,0,0.13883913,0.00175957,0.107543961,0.248142661
96,4,1000001635,ZrO2,2.530730251,0.325730237,0,0,0,1.694595666,0.510404348,0,75.7239952,0.966553316,9.795138896,36.69757594,0.276983541,62.85452428,0,0.219500559,0.000952691,0.127616322,0.348069572
97,5,1000001623,ZrO2,2.876588714,0,0,0.196206843,0,2.641103447,0.039278424,0,113.43,0.953644898,9.951237939,34.22782107,0.47384796,65.14680118,0,0.20452189,0.001477712,0.106215731,0.312215333
98,5,1000001604,ZrO2,2.90443279,0,0,1.315214848,0,1.589217942,0,0,112.58,0.851623001,5.768762395,36.21568543,1.578563025,61.65851874,0,0.113944159,0.00288204,0.066025034,0.182851233
99,5,1000001608,ZrO2,2.642070289,0.042915375,0,0.408990927,0,2.190163987,0,0,102.93,0.924233713,8.381696575,37.10064872,1.503866466,61.11831337,0,0.176032769,0.004289104,0.105949028,0.286270901
